id,question,annotator_a_answer,annotator_b_answer,normalized_a,normalized_b,token_f1,notes_a,notes_b
test_0000,Between Tourism and Travel Service Management and International Studies which USSH program had the higher 2024 admission score?,International Studies,Tourism and Travel Service Management,international studies,tourism and travel service management,0.0000,,
test_0012,Which ULIS programs had an estimated tuition fee of 31 million VND per year in 2026?,Russian Language; Arabic Language; Vietnamese Language and Vietnamese Culture,"Russian Language, Arabic Language, Transnational Culture and Communication, and Teaching Vietnamese as a Foreign Language",russian language arabic language vietnamese language and vietnamese culture,russian language arabic language transnational culture and communication and teaching vietnamese as foreign language,0.6957,,
test_0013,Which USSH majors had a tuition fee of 25 million VND per year in 2023-2024?,Management Science; Oriental Studies,Standard programs that had already been quality-accredited,management science oriental studies,standard programs that had already been quality accredited,0.0000,,
test_0020,Which USSH majors accepted the traditional C00 combination in 2025?,Journalism; Public Relations; Psychology; International Studies; Sociology; Hotel Management,"17 majors, including Journalism, Social Work, Oriental Studies, Korean Studies, Management Science, Public Relations, Tourism and Travel Service Management, Hotel Management, Office Management, International Studies, Psychology, Information - Library, Cultural Studies, Vietnamese Studies, Sociology, Information Management, and Cinema & Popular Art.",journalism public relations psychology international studies sociology hotel management,17 majors including journalism social work oriental studies korean studies management science public relations tourism and travel service management hotel management office management international studies psychology information library cultural studies vietnamese studies sociology information management and cinema and popular art,0.3673,,
test_0022,Which national education initiative is ULIS involved in?,The National Foreign Language Project,The National Foreign Language Project (De an Ngoai ngu Quoc gia),national foreign language project,national foreign language project de ngoai ngu quoc gia,0.6154,,
test_0029,Which ULIS program commonly used the D78 admission combination?,Korean Language,Foreign Language Teacher Education and Linguistics programs,korean language,foreign language teacher education and linguistics programs,0.2222,,
test_0031,Which educational model at VNU allows students to study both a major and a minor?,Major-minor training model,Double-degree program,major minor training model,double degree program,0.0000,,
test_0038,Which language faculties were established in 1964 at ULIS?,Russian; Chinese; English; French,"Russian, Chinese, English, and French",russian chinese english french,russian chinese english and french,0.8889,,
test_0040,Which ULIS program related to Vietnamese studies had a tuition fee of 31 million VND per year in 2026?,Vietnamese Language and Vietnamese Culture,Teaching Vietnamese as a Foreign Language,vietnamese language and vietnamese culture,teaching vietnamese as foreign language,0.4000,,
test_0043,What does the design of the VNU logo represent?,An open book with green lines,"An open book and a stylized pen/flame representing education, knowledge, and intellectual growth",open book with green lines,open book and stylized pen flame representing education knowledge and intellectual growth,0.2353,,
test_0049,Which ULIS language programs had an estimated tuition fee of 42 million VND per year in 2026?,English Language; French Language; Chinese Language; German Language; Japanese Language; Korean Language,"English, French, Chinese, German, Japanese, and Korean",english language french language chinese language german language japanese language korean language,english french chinese german japanese and korean,0.6316,,
test_0050,Which UET admission method uses competency assessment scores?,HSA competency assessment,Admission based on the VNU Competency Assessment (HSA) results,hsa competency assessment,admission based on vnu competency assessment hsa results,0.5455,,
test_0057,Which USSH majors had a tuition fee of 35 million VND per year in 2023-2024?,Journalism; Hotel Management; Public Relations,High-quality training programs,journalism hotel management public relations,high quality training programs,0.0000,,
test_0059,What was the tuition fee per credit for economic-technical norm programs at UET in 2024-2025?,1076000 VND per credit,1.076.000 VND,1076000 vnd per credit,1076000 vnd,0.6667,,
test_0060,What was the yearly tuition fee for the Computer Networks and Data Communications program at UET in 2024-2025?,40 million VND per academic year in 2024-2025,40.000.000 VND,40 million vnd per academic year in 2024 2025,40000000 vnd,0.1818,,
test_0066,Which two languages were first taught at ULIS?,Russian; Chinese,Russian and Chinese,russian chinese,russian and chinese,0.8000,,
test_0076,Which UET majors were included in the higher tuition group in 2024-2025?,Computer Science; Information Systems; Computer Engineering; Computer Networks and Data Communications; Electronics and Telecommunications Engineering Technology,"Information Technology, Computer Engineering, Mechatronics Engineering, Computer Science, Electronics & Telecommunications, Information Systems, Engineering Physics, Engineering Mechanics, Construction Engineering Technology, Aerospace Technology, Energy Engineering, Computer Networks & Data Communications, and Robotics",computer science information systems computer engineering computer networks and data communications electronics and telecommunications engineering technology,information technology computer engineering mechatronics engineering computer science electronics and telecommunications information systems engineering physics engineering mechanics construction engineering technology aerospace technology energy engineering computer networks and data communications and robotics,0.6809,,
test_0078,Which UET majors belonged to the engineering and technology admission group using A00 and A01 combinations?,Information Technology; Computer Science; Computer Engineering,"Most technology and engineering majors (such as Information Technology, Computer Science, Computer Engineering, Mechatronics, Aerospace, etc.)",information technology computer science computer engineering,most technology and engineering majors such as information technology computer science computer engineering mechatronics aerospace etc,0.5455,,
test_0086,Where can the Hoa Lac campus be found?,Thach That Hanoi,"Thach That District, Hanoi",thach that hanoi,thach that district hanoi,0.8571,,
test_0097,Which sectors have employed graduates trained by ULIS?,Education diplomacy economics politics society and national defense,"Foreign affairs, defense, security, economics, and education sectors",education diplomacy economics politics society and national defense,foreign affairs defense security economics and education sectors,0.5000,,
test_0098,How many extra credits are required for international-standard programs compared with standard programs at VNU?,At least 15 additional credits,Usually around 10 to 15 extra credits,at least 15 additional credits,usually around 10 to 15 extra credits,0.3333,,
test_0099,What is USSH called in English?,VNU University of Social Sciences and Humanities,University of Social Sciences and Humanities,vnu university of social sciences and humanities,university of social sciences and humanities,0.9231,,
test_0102,Which two admission combinations were newly added at USSH in 2025?,C03; C04,C03 and C04,c03 c04,c03 and c04,0.8000,,
test_0105,What is the core mission of VNU?,Training high-quality human resources & scientific research and technology transfer,"To contribute to Vietnam's national development through the pursuit of excellence in education, research, and high-quality services",training high quality human resources and scientific research and technology transfer,to contribute to vietnam s national development through pursuit of excellence in education research and high quality services,0.2759,,
test_0111,Which UET undergraduate program related to telecommunications belonged to the 40-million-VND tuition group in 2024-2025?,Electronics and Telecommunications Engineering Technology,Electronics and Telecommunications Engineering,electronics and telecommunications engineering technology,electronics and telecommunications engineering,0.8889,,
